Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
Wildcat Hill,39.9765,-119.8607,5800,404,1.44,NV,Washoe,Dogskin Mountain,no,46729
5797,39.7377,-119.6433,5797,368,3.51,NV,Washoe,Griffith Canyon,no,46731
5796,39.7157,-119.9112,5796,386,3.03,NV,Washoe,Reno NW,no,46733
5793,39.9177,-119.9952,5793,364,2.84,NV,Washoe,Seven Lakes Mountain,no,46736
5769,40.4262,-119.3515,5769,399,1.62,NV,Washoe,Kumiva Peak,no,46756
5764,40.5392,-119.5316,5764,304,1.76,NV,Washoe,Smith Canyon,no,46762
5671,40.5795,-119.8687,5671,321,1.98,NV,Washoe,Salt Marsh,no,46871
5659,39.8322,-119.7906,5659,328,2.27,NV,Washoe,Bedell Flat,no,46885
Black Mountain,39.7443,-119.2819,5656,752,6.16,NV,Washoe,Wadsworth,no,46892
Mission Peak,40.2762,-119.8506,5627,1197,2.6,NV,Washoe,Sand Pass,no,46927
Frost Benchmark,39.5864,-119.5578,5610,410,3.31,NV,Washoe,Patrick,no,46954
5583,40.3334,-119.3963,5583,393,5.22,NV,Washoe,San Emidio Desert South,no,46983
Agency Benchmark,39.8215,-119.2862,5572,1072,3.91,NV,Washoe,Nixon,no,46995
5528,39.7502,-119.5472,5528,361,4.48,NV,Washoe,Moses Rock,no,47045
5510,40.1528,-119.801,5510,300,4.04,NV,Washoe,Astor Pass,no,47059
5503,39.6669,-119.8021,5503,393,2.08,NV,Washoe,Reno NE,no,47069
5498,39.7277,-119.3824,5498,331,2.49,NV,Washoe,Olinghouse,no,47080
Terraced Hills,40.224,-119.7305,5494,1324,6.18,NV,Washoe,The Needle Rocks,no,47087
Black Mountain North,39.7698,-119.3159,5485,465,2.53,NV,Washoe,Nixon,no,47098
5478,40.3382,-119.3767,5478,508,1.09,NV,Washoe,San Emidio Desert South,no,47104
5474,40.5951,-119.4898,5474,654,4.45,NV,Washoe,West of Empire,no,47108
"""Red Hill""",39.5842,-119.7986,5470,320,2.78,NV,Washoe,Reno,no,47129
5469,39.6951,-119.2273,5469,368,1.69,NV,Washoe,Two Tips,no,47112
5460,40.5681,-119.5202,5460,480,2.09,NV,Washoe,Smith Canyon,no,47121
5450,40.2828,-119.8297,5450,460,1.19,NV,Washoe,Sand Pass,no,47137
5410,40.4963,-119.5129,5410,350,1.43,NV,Washoe,Pah-Rum Peak,no,47189
5410,40.3032,-119.9349,5410,300,3.72,NV,Washoe,Parker Canyon,no,47190
Junction House Benchmark,39.767,-119.6573,5406,436,2.16,NV,Washoe,Fraser Flat,no,47193
5403,39.776,-119.6637,5403,302,0.71,NV,Washoe,Fraser Flat,no,142229
5380,39.9659,-119.463,5380,440,2.15,NV,Washoe,Nixon NW,no,47216
5347,39.9173,-119.6132,5347,475,2.82,NV,Washoe,Sutcliffe,no,47257
5346,40.2173,-119.8637,5346,516,3.32,NV,Washoe,Astor Pass,no,47258
5344,39.9173,-119.5925,5344,341,1.1,NV,Washoe,Sutcliffe,no,47260
Porcupine Mountain,39.8837,-119.9497,5331,427,2.21,NV,Washoe,Seven Lakes Mountain,no,47276
5324,40.2636,-119.8446,5324,334,0.93,NV,Washoe,Sand Pass,no,47288
Sugarloaf Peak,39.6754,-119.6745,5291,387,4.02,NV,Washoe,Griffith Canyon,no,47317
5285,39.7353,-119.2643,5285,315,1.12,NV,Washoe,Wadsworth,no,142227
Round Mountain,41.0072,-119.8186,5284,374,7.88,NV,Washoe,Juniper Springs,no,47323
5277,40.0809,-119.7247,5277,427,2.65,NV,Washoe,Pyramid SW,no,47333
